id,name,description
"HairSalon","سالن زیبایی مو (زن)","مدل‌های به‌روز برای خانم‌ها و آقایان"
"Barbershop","آرایشگاه مردانه","مراقبت حرفه‌ای از پوست و بدن"
"MakeupStudio","استودیو آرایش","آرایش حرفه‌ای برای مراسم و عروسی"
"NailStudio","استودیو ناخن","طراحی ناخن‌های خلاقانه"
"SkinCareClinic","کلینیک مراقبت پوست","جلسات آروماتراپی و سلامت"
"SpaAndMassage","اسپا و ماساژ","درمان‌های آرامش‌بخش بدن و ماساژ"
"LaserClinic","کلینیک لیزر","خدمات پیشرفته لیزر برای حذف مو"
"TattooStudio","استودیو خالکوبی و تاتو","آرتیست‌های خلاق برای سبک‌های منحصربه‌فرد"
"DentalClinic","کلینیک دندانپزشکی زیبایی","رعایت بهداشت حرفه‌ای و ایمن"
"FitnessWellnessCenter","مرکز تناسب اندام و سلامت","مدل‌های به‌روز برای خانم‌ها و آقایان"
"AestheticClinic","کلینیک زیبایی تخصصی (غیرجراحی)","مدل‌های به‌روز برای خانم‌ها و آقایان"
"KidsHairBeautySalon","سالن زیبایی کودکان","راه‌حل‌های زیبایی مبتنی بر متخصصین پوست"