id,name,icon
"HaircutWomen","کوتاهی مو زنانه",""
"HairStyling","حالت دهی مو",""
"HairColoring","رنگ مو",""
"HairHighlightsBalayage","دکلره، هایلایت و بالیاژ",""
"HairKeratinTreatment","درمان کراتین مو",""
"ScalpTreatment","درمان سلامت پوست سر",""
"MenHaircut","کوتاهی موی مردانه",""
"FadeHaircut","کوتاهی فید",""
"BeardTrim","تراش ریش",""
"HairColorMen","رنگ مو و ریش مردانه",""
"BridalMakeup","آرایش عروس",""
"EventMakeup","آرایش رویداد و مناسبت",""
"PermanentMakeup","آرایش دائمی",""
"Microblading","میکروبلیدینگ",""
"EyelashExtensions","کاشت مژه",""
"EyelashLift","لیفت و فر مژه",""
"EyebrowShaping","شکل‌دهی ابرو",""
"EyebrowTinting","رنگ ابرو و مژه",""
"ManicureClassic","منیکور کلاسیک",""
"PedicureClassic","پدیکور کلاسیک",""
"ManicureSpa","منیکور اسپا",""
"PedicureSpa","پدیکور اسپا",""
"GelNails","ناخن ژل",""
"AcrylicNails","ناخن آکریلیک",""
"NailArtBasic","هنر ناخن (پایه)",""
"NailArtAdvanced","هنر ناخن (پیشرفته)",""
"NailRepair","تعمیر و مراقبت ناخن",""
"FacialBasic","فیشیال پایه",""
"FacialAntiAging","فیشیال ضد پیری",""
"AcneTreatment","درمان آکنه و جوش",""
"PigmentationTreatment","درمان لکه‌های پوستی",""
"Mesotherapy","میزوتراپی",""
"PRPTherapy","درمان PRP",""
"MassageTherapeutic","ماساژ درمانی",""
"MassageRelaxation","ماساژ آرامش‌بخش",""
"MassageThai","ماساژ تایلندی",""
"MassageAromatherapy","آروماتراپی",""
"CoupleMassage","ماساژ زوجین",""
"Sauna","ساونا",""
"SteamRoom","اتاق بخار",""
"Jacuzzi","جکوزی",""
"WellnessDetoxProgram","برنامه سم‌زدایی و سلامت",""
"LaserHairRemoval","لیزر موهای زائد",""
"PigmentationLaserTreatment","درمان لکه‌ها با لیزر",""
"TattooDesignSmall","تاتو کوچک",""
"TattooDesignMedium","تاتو متوسط",""
"TattooDesignLarge","تاتو بزرگ",""
"TattooDesignExtraLarge","تاتو بسیار بزرگ",""
"TattooRemovalLaser","رفع تاتو با لیزر",""
"HennaDesign","حنا",""
"PiercingEar","پیرسینگ گوش",""
"PiercingNose","پیرسینگ بینی",""
"PiercingBody","پیرسینگ بدن",""
"TeethWhitening","سفید کردن دندان",""
"DentalVeneers","ونیر و لمینیت",""
"CosmeticDentistry","تزئینات دندانپزشکی زیبایی",""
"OrthodonticsBraces","ارتودنسی با سیم و براکت",""
"OrthodonticsAligners","ارتودنسی با انویزیلاین",""
"DentalCheckup","ویزیت و چکاپ دندان",""
"NutritionConsultation","مشاوره تغذیه",""
"MeditationSession","جلسات مدیتیشن",""
"WellnessCoaching","کوچینگ سلامت",""
"BotoxInjection","تزریق بوتاکس",""
"DermalFillers","فیلرهای درمال",""
"SkinTightening","جوانسازی و سفت‌کننده پوست",""
"PlateletRichPlasma","درمان PRP",""
"HairRestoration","کاشت مو و بازسازی مو",""
"KidsHaircut","کوتاهی موی کودک",""